paperId:ID(Paper),title
9907061,"Some Properties of Type I String Theory"
9706120,"Product Einstein Manifolds, Zeta-Function Regularization and the Multiplicative Anomaly"
9802091,"Matrix Theory in Curved Space"
0003189,"Quantum Groups and Field Theory"
0006186,"Quantum structure of T-dualized models with symmetry breaking"
0209005,"A Map between q-deformed and ordinary Gauge Theories"
9701037,"Covariant Action for a D=11 Five-Brane with the Chiral Field"
9709060,"Renormalization Group with Condensate"
9508060,"Thermodynamic Properties, Phases and Classical Vacua of Two Dimensional $R^2$-Gravity"
0105245,"On non-abelian structures in open string field theory"
9506110,"Aspects of Duality in N=2 String Vacua"
0201015,"Ghost Kinetic Operator of Vacuum String Field Theory"
9402055,"Canonical Commutation Relations in The Schwinger Model"
0006225,"S-Duality from OM-Theory"
9907117,"Generalized Dirichlet Branes and Zero-modes"
0102121,"Long Range Forces and Supersymmetric Bound States"
9809093,"Classical Teichmuller theory and (2+1) gravity"
9204102,"A New Supersymmetric Index"
0111100,"Application of symbol-operator technique for effective action computation"
0111015,"Classical and semiclassical investigations of models for real scalar fields"
0008124,"Induced gravity with complex metric field"
0210167,"NC Calabi-Yau Orbifolds in Toric Varieties with Discrete Torsion"
0011235,"Physical sense of renormalizability"
9408149,"Pauli-Villars Regularization of Supergravity Coupled to Chiral and Yang-Mills Matter"
9406054,"The Extended Supersymmetrization of the Nonlinear Schrodinger Equation"
9703097,"Justification of the zeta function renormalization in rigid string model"
9711163,"Decoherent Scattering of Light Particles in a D-Brane Background"
0201206,"Romans type IIA theory and the heterotic strings"
0009119,"On the c-theorem in more than two dimensions"
9405079,"On representation theory of quantum $SL_q(2)$ groups at roots of unity"
9912262,"Exact Symmetries realized on the Renormalized Group Flow"
0304162,"Twisted Alice Loops as Monopoles"
0203224,"On brane cosmological solutions"
9811188,"The Nonlinear Schrodinger Equation on the Half Line"
9603138,"Duality in deformed coset fermionic models"
9912269,"Quadratic Effective Action for QED in D=2,3 Dimensions"
0303075,"Superfield T-duality rules"
0001083,"Heterotic/Type II Triality and Instantons on $K_3$"
0211240,"Nielsen-Olesen strings in Supersymmetric models"
0012027,"Some Problems Concerning Interchange of Order of Integration in Functional Integral Formalism of U(1) Gauge Field Theories"
9709072,"Supersymmetry and the Multi-Instanton Measure II: From N=4 to N=0"
0211090,"S-brane Actions"
9402046,"Gravity and Electromagnetism in Noncommutative Geometry"
9710050,"On the Structure of Quantum Gauge Theories with External Fields"
9212105,"Singularity, complexity, and quasi--integrability of rational mappings"
0001216,"Automorphisms, Non-linear Realizations and Branes"
9908135,"Supersymmetric Three-cycles and (Super)symmetry Breaking"
9703034,"Non-trivial classical backgrounds with vanishing quantum corrections"
0106174,"Moduli stabilization and supersymmetry breaking in effective theories of strings"
9304116,"Coset Construction of Minimal Models"
9412130,"A New Approach to Spin and Statistics"
0209121,"Conformality and Unification of Gauge Couplings"
0202204,"The general-covariant and gauge-invariant theory of quantum particles in classical backgrounds"
9710096,"Conformal Invariance and Duality in Self-Dual Gravity and (2,1) Heterotic String Theory"
9401113,"Vortices in Bogomolnyi Limit of Einstein Maxwell Higgs Theory with or without External Sources"
9612156,"Dynamical Lorentz Symmetry Breaking from 3 + 1 Renormalizable Model with Wess-Zumino Interaction"
0001064,"The effect of different regulators in the non-local field-antifield quantization"
9712088,"Light-Front Partons and Dimensional Reduction in Relativistic Field Theory"
9502089,"Algebraic-geometrical formulation of two-dimensional quantum gravity"
9308091,"Fluid Random Surfaces with Extrinsic Curvature: II"
0106202,"Classical AdS Superstring Mechanics"
9611059,"Quantum effects on winding configurations in SU(2)-Higgs theory"
0211045,"Kinetic equation for tachyons"
0110002,"Non-Abelian Structures in BSFT and RR couplings"
9604160,"A model of stable chromomagnetic vacuum in higher-dimensional Yang-Mills theory"
0102024,"Perturbative test of exact vacuum expectation values of local fields in affine Toda theories"
9310084,"Liouville Quantum Mechanics on a Lattice Large from Geometry of Quantum Lorentz Group"
0002157,"Ramond-Ramond Field Radiation from Rotating Ellipsoidal Membranes"
9704006,"On the Bound States of p- and (p+2)-Branes"
0207200,"Collective potential for large N hamiltonian matrix models and free Fisher information"
9912221,"Introduction to Hopf algebras in renormalization and noncommutative geometry"
9907080,"General considerations of the cosmological constant and the stabilization of moduli in the brane-world picture"
0105235,"Secrets of the Metric In N=4 and N=2* Geometries"
9807240,"A Brief Review of Three-Family Grand Unification in String Theory"
0207229,"Is There a Problem with Quantum Gravitation?"
9311015,"Glueball spectrum in a (1+1)-dimensional model for QCD"
9703051,"Rotated Branes and N=1 Duality"
9406041,"Geometric Quantization of the Phase Space of a Particle in a Yang-Mills Field"
0108058,"Twisted N=8, D=2 super Yang-Mills theory as example of a Hodge-type cohomological theory"
0105186,"Warped Geometry in Higher Dimensions with an Orbifold Extra Dimension"
0206128,"Origin of Small Cosmological Constant in Brane-World"
0209113,"de Sitter Vacua, Renormalization and Locality"
9705167,"Solutions of Extended Supersymmetric Matrix Models for Arbitrary Gauge Groups"
9405176,"On the Discretized Light-Cone Quantization of Electrodynamics"
9409106,"Deformed Poincare Algebra and Field Theory"
9909069,"Anti-de Sitter Fragmentation"
9912266,"Deformation of Conifold and Intersecting Branes"
0004168,"Non-Abelian Aharonov-Bohm Scattering of Spin 1/2 Particles"
9707169,"Geodesic incompleteness in the CP^1 model on a compact Riemann surface"
9903042,"Stringy Corrections to the Wilson Loop in N=4 Super Yang-Mills Theory"
0112086,"The partition function of the linear Poisson-sigma model on arbitrary surfaces"
0012088,"Unified field theory from one-particle physics"
9510178,"String-string duality for some black hole type solutions"
0107108,"Braneworld Instantons"
9610078,"BFV-Type Representation of Path-Integral for Dynamical System with second class constraints"
